ADM1_NAME,ADM2_NAME,ADM2_CODE
Vinnytsya,Kryzhopil's'kyi,19034.0
Vinnytsya,Ladyzhyns'ka,19597.0
Vinnytsya,Lityns'kyi,20530.0
Vinnytsya,Lypovets'kyi,21072.0
Vinnytsya,Mohyliv-Podil's'kyi,23397.0
Vinnytsya,Murovano-Kurylovets'kyi,24137.0
Vinnytsya,Nemyrivs'kyi,25093.0
Vinnytsya,Orativs'kyi,26710.0
Vinnytsya,Pohrebyshchens'kyi,28824.0
Vinnytsya,Teplyts'kyi,36815.0
Vinnytsya,Tomashpil's'kyi,37551.0
Vinnytsya,Trostianets'kyi,37922.0
Vinnytsya,Tul'chyns'kyi,38095.0
Vinnytsya,Tyvrivs'kyi,38324.0
Vinnytsya,Vinnyts'ka,39646.0
Vinnytsya,Vinnyts'kyi,39647.0
Vinnytsya,Zhmeryns'kyi,41323.0
Volyn,Ivanychivs'kyi,15852.0
Volyn,Kivertsivs'kyi,18318.0
Volyn,Kovel's'ka,18845.0
Volyn,Kovel's'kyi,18846.0
Volyn,Liubeshivs'kyi,20533.0
Volyn,Liuboml's'ky,20534.0
Volyn,Lokachyns'kyi,20636.0
Volyn,Luts'ka,21027.0
Volyn,Luts'kyi,21028.0
Volyn,Manevyts'kyi,21746.0
Volyn,Ratnivs'kyi,30122.0
Volyn,Shats'kyi,33663.0
Volyn,Turiis'kyi,38205.0
Zaporizhzhya,Berdians'ka,4351.0
Zaporizhzhya,Berdians'kyi,4352.0
Zaporizhzhya,Chernihivs'kyi,7661.0
Zaporizhzhya,Huliaipil's'kyi,14713.0
Zaporizhzhya,Iakymivs'kyi,14819.0
Zaporizhzhya,Kamians'ko-Dniprovs'kyi,17065.0
Zaporizhzhya,Kuibyshevs'kyi,19094.0
Zaporizhzhya,Melitopol's'ka,22690.0
Zaporizhzhya,Melitopol's'kyi,22691.0
Zaporizhzhya,Mykhailivs'kyi,24266.0
Zaporizhzhya,Novomykola‹vs'kyi,25913.0
Zaporizhzhya,Orikhivs'kyi,26748.0
Zaporizhzhya,Polohivs'kyi,28886.0
Zaporizhzhya,Pryazovs'kyi,29411.0
Zaporizhzhya,Prymors'kyi,29414.0
Zaporizhzhya,Rozivs'kyi,30841.0
Zaporizhzhya,Tokmats'ka,37510.0
Zaporizhzhya,Tokmats'kyi,37511.0
Zaporizhzhya,Vasylivs'kyi,39200.0
Zaporizhzhya,Velykobilozers'kyi,39271.0
Zaporizhzhya,Veselivs'kyi,39376.0
Zaporizhzhya,Vil'nians'kyi,39487.0
Zaporizhzhya,Zaporiz'ka,41153.0
Zaporizhzhya,Zaporiz'kyi,41154.0
Zhytomyr,Andrushivs'kyi,1781.0
Zhytomyr,Brusylivs'kyi,5698.0
Zhytomyr,Cherniakhivs'kyi,7658.0
Zhytomyr,Chudnivs'kyi,8036.0
Zhytomyr,Iemil'chyns'kyi,14984.0
Zhytomyr,Korostens'ka,18688.0
Zhytomyr,Korostens'kyi,18689.0
Zhytomyr,Korostyshivs'kyi,18690.0
Zhytomyr,Liubars'kyi,20531.0
Zhytomyr,Malyns'kyi,21643.0
Zhytomyr,Narodyts'kyi,24871.0
Zhytomyr,Novohrad-Volyns'ka,25897.0
Zhytomyr,Novohrad-Volyns'kyi,25898.0
Zhytomyr,Olevs'kyi,26484.0
Zhytomyr,Ovruts'kyi,27183.0
Zhytomyr,Popil'nians'kyi,28987.0
Zhytomyr,Radomyshl's'kyi,29908.0
Zhytomyr,Volodars'ko-Volyns'kyi,39783.0
Zhytomyr,Zhytomyrs'ka,41342.0
Zhytomyr,Zhytomyrs'kyi,41343.0
